Model_number	Min_Scale_V	Max_Scale_V	Mean_Scale_V	RMS_Scale_V	Min	Max	Mean	RMS	Min_Scale_tt	Max_Scale_tt	Mean_Scale_tt	RMS_Scale_tt	Min_Scale_tr	Max_Scale_tr	Mean_Scale_tr	RMS_Scale_tr
121	-0.341421910471	0.333661738309	-0.00182177273531	0.0491482521856	-89.6232514987	87.5862063061	-0.47821534302	12.9014161987	-0.334020630705	0.310184905107	-0.000287200851856	0.0476616783264	-0.131237886673	0.154065277669	4.32981226947e-15	0.0305731285712
291	-0.223874234563	0.303871274923	-0.00257712007569	0.0439846586088	-58.7669865727	79.7662096673	-0.676494019869	11.5459728848	-0.219554437563	0.280156045137	-0.000102112090876	0.0422652838383	-0.136093726242	0.239852840519	-5.846920686e-16	0.0347687921209
270	-0.348838478669	0.274151272538	-0.00261265308318	0.0466586820823	-91.5701006506	71.9647090413	-0.685821434334	12.2479040466	-0.351408087709	0.178780779216	-0.000853801411937	0.043971059632	-0.125689093115	0.242098282076	-7.00768774055e-16	0.0344028627947
252	-0.527412193054	0.304651462034	-0.00348114318822	0.0472557810997	-138.445700677	79.971008784	-0.913800086908	12.4046425387	-0.452458333465	0.207807858258	-0.00101347449067	0.0427644516871	-0.151713579623	0.238762119701	1.44851096368e-15	0.0339009257806
156	-0.185956445184	0.268573677385	-0.00208212717084	0.0418576683382	-48.8135668608	70.5005903135	-0.546558382345	10.9876379388	-0.194537292605	0.206869137257	9.81545814209e-05	0.0399161317166	-0.171249979295	0.260046376057	-2.04021333847e-15	0.0379264396287
136	-0.197517836805	0.257170492387	-0.00196102165175	0.0418966325691	-51.8484321614	67.5072542515	-0.514768183583	10.9978660494	-0.224560592197	0.223761020736	8.50492983975e-05	0.0402878793801	-0.167529003423	0.247455869952	5.75836944991e-16	0.0399079557752
143	-0.424002223719	0.560452137529	-0.00224839752039	0.0489355482568	-111.300583726	147.118686101	-0.590204349103	12.8455814174	-0.194740550764	0.319763759581	0.000282560371594	0.0433839653087	-0.13178386861	0.239061767834	1.70946733041e-15	0.0327357347085
3	-0.247507622838	0.227410415141	-0.00272886899957	0.0438696441365	-64.9707509951	59.6952339745	-0.716328112387	11.5157815858	-0.193691432246	0.230920919881	-0.000256865876303	0.0418921785422	-0.133737103021	0.235837714045	5.73250233255e-16	0.0344961606609
221	-0.222206946893	0.26261929566	-0.00249056349307	0.0432713483127	-58.3293235595	68.9375651108	-0.653772916932	11.3587289321	-0.174941534823	0.1983946169	-0.000701293301678	0.0409918919777	-0.126974840832	0.254237047712	1.65200027598e-15	0.0358807502242
213	-0.191836162463	0.27318649601	-0.00152153133885	0.0420254498205	-50.3569926465	71.7114552027	-0.399401976449	11.0316805779	-0.228534142411	0.256535439362	0.000338522011006	0.0411161037419	-0.183841559663	0.266933717299	-9.2337277523e-16	0.0406831278511
267	-0.39502204087	0.366149880725	-0.00158534240127	0.0559267023587	-103.693285728	96.1143436904	-0.416152380335	14.6807593692	-0.38708543439	0.385012836611	-0.000642291189067	0.0509297908699	-0.127396890955	0.196359458233	-5.91771406669e-15	0.0298927135019
31	-0.264668327397	0.27201637183	-0.0012493229766	0.0460059077746	-69.4754359417	71.4042976054	-0.327947281359	12.0765507908	-0.229827027643	0.226138490535	0.000137631657265	0.0432851444082	-0.138057172148	0.233576184175	2.29116801765e-15	0.0333640009977
220	-0.282928485269	0.413026319808	-0.0020875723775	0.0458271896413	-74.2687273832	108.41940895	-0.547987749093	12.0296372809	-0.262448653241	0.277674516034	-0.00122722803595	0.0438205758274	-0.128030641337	0.230457056721	1.44095713063e-15	0.0331413440153
142	-1.64220950054	0.388609036058	-0.002208916148	0.0592975920632	-431.079993892	102.009871965	-0.579840488849	15.5656179166	-0.818459051054	0.428883844957	-0.0004383430824	0.0517430348435	-0.13354951908	0.19368139561	-5.42852403014e-16	0.0309300944944
37	-0.318399070957	0.601306622792	-0.00229614685103	0.0475865341529	-83.5797561262	157.842988483	-0.602738548394	12.4914652151	-0.23003053534	0.229968175868	-0.000665743142959	0.042036985633	-0.181984678235	0.22261430665	-1.05339471343e-15	0.0343470685179
93	-0.349482707301	0.243467745852	-0.00222765357914	0.0436106057728	-91.7392106665	63.9102832862	-0.584759064525	11.4477840153	-0.330850942964	0.18983525505	-0.000254704627913	0.0410408417654	-0.167083959038	0.230731238526	9.83164696342e-16	0.0360574540585
150	-0.232323375614	3.04928862126	0.000387610095883	0.0734256045479	-60.9848860987	800.438263081	0.101747650169	19.2742211938	-0.238592964128	0.269654925046	-5.8424177987e-05	0.0442492683984	-0.124539364468	0.210934081885	7.95146062582e-16	0.0324460538092
192	-0.291767130907	0.324854105977	-0.00296659563382	0.0497756451001	-76.5888718631	85.2742028189	-0.778731353878	13.0661068388	-0.277810231167	0.264067644099	-0.00136059250914	0.0454512063716	-0.138404518964	0.231863471169	-2.07222587987e-15	0.031004899287
132	-0.195007065663	0.220255980642	-0.00185971257557	0.0423121515908	-51.1893547365	57.8171949185	-0.488174551087	11.1069397926	-0.232482335741	0.206454909988	-6.85070053654e-05	0.0402971614172	-0.16588292249	0.23403670059	2.11142329083e-16	0.0361214526793
160	-0.228572944303	0.364734787586	-0.00167989801578	0.0471737105906	-60.0003978795	95.7428817414	-0.440973229142	12.38309903	-0.220022017358	0.39304719244	-0.000408191435228	0.0442821998294	-0.142891405565	0.169947336275	-5.39976074781e-16	0.0332582612181
85	-0.286720774736	0.289280895257	-0.00304121461698	0.0474609557347	-75.2642033682	75.9362350049	-0.798318836958	12.4585008804	-0.204536063679	0.237058117543	-0.00137643384102	0.044222676139	-0.128719197071	0.237671720307	-9.60519066609e-16	0.0319218041193
230	-0.178019481505	0.275932617457	-0.00157931692943	0.0421457346275	-46.7301138951	72.4323120823	-0.414570693975	11.0632553397	-0.20800569922	0.21953139363	4.46507527642e-05	0.0405777867891	-0.178270117767	0.252612731059	-9.12092014266e-15	0.0407572052229
97	-0.299074163769	0.260515319057	-0.00180685704764	0.042662719115	-78.5069679894	68.3852712523	-0.474299975005	11.1989637677	-0.213988378395	0.190640039427	-6.87327083996e-05	0.040447976897	-0.15851028779	0.238149692149	1.55634351731e-15	0.0381360352912
49	-0.232487435445	0.27930543051	-0.00143088739131	0.0422320390332	-61.0279518042	73.3176755089	-0.375607940219	11.0859102462	-0.192632017333	0.202683527197	0.000623785542218	0.0406860360326	-0.172292346992	0.265257237886	-4.06970689916e-16	0.039968024845
5	-0.186819325613	0.27919968486	-0.00130290598619	0.0441874913629	-49.0400729735	73.2899172759	-0.342012821376	11.5992164827	-0.246736705934	0.242467378215	0.000620925359986	0.0429442476169	-0.198131154898	0.290200564851	4.12064766401e-16	0.043726560932
145	-0.206134648351	0.255891695775	-0.00140943915367	0.0416538450018	-54.1103451921	67.1715701409	-0.369977777837	10.934134313	-0.214247662769	0.206978614344	0.000344709699601	0.0402407862517	-0.167238945872	0.228116086011	-2.31616628551e-15	0.0389468984699
286	-0.193402698328	0.23614463068	-0.00192845937853	0.0422854408315	-50.7682083111	61.9879655535	-0.506220586865	11.0999282183	-0.222709244152	0.19663081934	-0.000526107929929	0.0400301535537	-0.155835983677	0.246472465994	2.11878669111e-15	0.036638327486
273	-0.494589240852	0.274461858319	-0.00132360054641	0.0489514947749	-129.829675724	72.0462378088	-0.347445143432	12.8497673784	-0.395226200122	0.509646281512	0.000458446626025	0.0475244588018	-0.125276284912	0.206450894203	-7.16043068812e-16	0.0326941659671
219	-0.425464276575	0.313241661744	-0.00355157875649	0.0484484226087	-111.684372601	82.2259362078	-0.93228942358	12.7177109348	-0.252310541842	0.243564273674	-0.00102739203198	0.0445754455618	-0.144351200965	0.230069752247	5.46415082674e-16	0.0317193428327
165	-0.182572156628	0.426224622841	-0.00206572662946	0.0433363989474	-47.9251911148	111.883963496	-0.542253240234	11.3758047237	-0.201996529921	0.24554557233	-7.77452349122e-05	0.0406336996147	-0.171158908728	0.230572468892	7.45280449387e-16	0.036521991415
149	-0.210938725596	0.294078522376	-0.00184908323893	0.0474442285202	-55.3714154689	77.1956121236	-0.485384350218	12.4541099866	-0.273721840537	0.233480462791	-0.00045516356189	0.0443609807388	-0.148363671054	0.226405713876	1.18227008769e-18	0.0320745892227
276	-0.19941787445	0.283064506568	-0.00158399178167	0.0439799962184	-52.3471920432	74.3044329742	-0.415797842689	11.5447490073	-0.243166617703	0.24616091039	0.000653724772315	0.0427291794107	-0.191340056224	0.296083711253	-3.32722541469e-15	0.0441127362171
